['danger: car (43.891m)']	['danger: car (37.625m)']
['danger: truck (26.266m)']	[]
['car', 'danger: truck (1.444m)']	['car', 'danger: truck (1.146m)']
['truck']	['truck']
['truck']	['truck']
['car']	['car']
[]	[]
['danger: truck (64.508m)', 'truck']	['truck']
['danger: truck (58.213m)']	['train', 'truck']
[]	[]
['car', 'danger: truck (51.200m)']	['car', 'truck']
['danger: truck (42.778m)']	['truck']
['car', 'danger: truck (27.650m)']	['car', 'danger: bus (29.863m)']
['car', 'car', 'danger: truck (14.184m)']	['car', 'danger: truck (12.800m)']
['danger: car (55.299m)', 'danger: car (0.147m)', 'danger: truck (0.370m)']	['car', 'car', 'danger: truck (0.410m)']
